partition,item,supply,date,uni,amount,unitPrice
民權,DG0000001803-PROMERAN TAB 5mg (鋁箔/膠箔),D0025-生達,2022-01-13,錠,4000,0.65
民權,DG0000001827-Bowklean powder 保可淨散劑,H_D0260-禾馨_天義,2022-01-13,盒,20,478.5
民權,DG0000000018-FENCAINE TAB 10MG,D0112-優生,2022-01-13,顆,11000,0.441
民權,DG0000000013-Clomid TAB 50mg,H_D0005-禾馨_久裕,2022-01-13,顆,500,3.832
民權,DG0000001193-Novamin Tab 5mg,H_D0005-禾馨_久裕,2022-01-13,錠,3000,1.485
民權,DG0000000644-KYTRIL 1mg/ml (新/民),H_D0006-禾馨_大昌華嘉,2022-01-13,支,50,193.34
民權,DG0000000063-ESTRADE TAB 2MG,H_D0073-禾馨-健喬信元,2022-01-13,顆,3000,3.52
民權,DG0000000893-ULEXIN susp 25mg/ML(小/民),H_D0073-禾馨-健喬信元,2022-01-13,瓶,30,132
民權,DG0000001674-LENOZOLE TAB 2.5MG,H_D0075-禾馨_培力,2022-01-13,錠,180,28.6
民權,DG0000000907-*9價*(3劑)嘉喜子宮頸癌疫苗,H_D0087-禾馨_裕利,2022-01-13,支,200,4399.995
民權,DG0000000813-Broain 100mg,H_D0198-禾馨_杏泰藥品,2022-01-13,顆,5000,1.1
民權,DG0000000069-Bendol F.C. Tab,H_D0198-禾馨_杏泰藥品,2022-01-13,顆,5000,1.1
民權,DG0000000278-NEXIUM  40MG Tab.,H_D0087-禾馨_裕利,2022-01-13,顆,420,6.707
民權,DG0000000294-Xylocaine 2% Jelly 30g,H_D0087-禾馨_裕利,2022-01-13,條,10,118.9
民權,DG0000000783-AUGMENTIN 1G,H_D0087-禾馨_裕利,2022-01-13,顆,2000,7.92
民權,DG0000001034-Emadine0.05% 5mL(民.小),H_D0087-禾馨_裕利,2022-01-13,瓶,30,49.567
民權,DG0000000202-Duphaston 10mg Tab.,H_D0087-禾馨_裕利,2022-01-13,顆,600,26.343
民權,DG0000001334-GLUCOBOSE 50MG華伏醣錠,D0161-華興,2022-01-13,錠,1000,2
民權小禾馨,DG0000000301-RotaRix羅特律(自費)(GSK),H_D0087-禾馨_裕利,2022-01-13,支,200,1848
民權小禾馨,DG0000000340-RotaTeq輪達停(自費)(MSD),H_D0087-禾馨_裕利,2022-01-13,支,300,1210
禾馨眼科,DG0000001503-Soft Santear Hitomi Stretch 參,D0087-裕利,2022-01-13,瓶,150,65
桃園,DG0000000692-Tractocile 7.5 mg/ml(民權),H_D0006-禾馨_大昌華嘉,2022-01-13,支,3,4151.333
桃園,DG0000000020-BOKEY E.M CAP 100MG,H_D0022-禾馨_永信藥品,2022-01-13,顆,2940,1.01
桃園,DG0000001839-ALAT CAPSULES 10MG心福膠囊,H_D0022-禾馨_永信藥品,2022-01-13,粒,1000,1.921
桃園,DG0000000700-ALDACTIN(spironolactone25mg)(,H_D0052-禾馨_信東,2022-01-13,顆,3000,1.32
桃園,DG0000000053-COVINA F.C. TAB.(婦),H_D0073-禾馨-健喬信元,2022-01-13,顆,560,3.379
桃園,DG0000000893-ULEXIN susp 25mg/ML(小/民),H_D0073-禾馨-健喬信元,2022-01-13,瓶,40,132
桃園,DG0000000322-Zinc oxide 28.4gm (兒),H_D0081-禾馨_惠祥,2022-01-13,條,100,55
桃園,DG0000000371-Marcaine inj. 0.5% 20mL (新生/,H_D0087-禾馨_裕利,2022-01-13,瓶,30,235.433
桃園,DG0000000418-Marcaine 0.5%SP HeavyAmp 4mL,H_D0087-禾馨_裕利,2022-01-13,支,50,176
桃園,DG0000000202-Duphaston 10mg Tab.,H_D0087-禾馨_裕利,2022-01-13,顆,800,26.344
桃園,DG0000000174-CRINONE 8% Progesterone vag g,H_D0087-禾馨_裕利,2022-01-13,條,75,220
桃園,DG0000000783-AUGMENTIN 1G,H_D0087-禾馨_裕利,2022-01-13,顆,210,7.914
桃園,DG0000000045-Diane,H_D0087-禾馨_裕利,2022-01-13,盒,12,195.833
桃園,DG0000001527-Visanne 28's(自費),H_D0087-禾馨_裕利,2022-01-13,盒,33,1257.212
桃園,DG0000000607-Mepiform美皮豐矽膠片,H_D0107-禾馨_歐強國際,2022-01-13,片,30,1210
內湖,DG0000001198-NALDEBAIN ER INJ 150MG/ 2 ML,H_D0236-禾馨_安美得生醫,2022-01-13,AMP,36,7150
內湖,DG0000001568-[管]COTRMA F.C. TABLETS 37.5MG,D0073-健喬信元,2022-01-13,錠,1000,2.5
內湖,DG0000001863-Enstilar 安思泰樂泡沫劑(皮),H_D0218-禾馨-宏曜,2022-01-13,盒,12,1558.333
民權藥局,DG0000001240-10MG CRESTOR TAB,H_D0087-禾馨_裕利,2022-01-13,錠,336,12.283
民權藥局,DG0000001747-(眼)NEOBACIN OPHTHALMIC OINT,H_D0002-禾馨_人人製藥,2022-01-13,SET,300,22
民權藥局,DG0000001568-[管]COTRMA F.C. TABLETS 37.5MG,D0073-健喬信元,2022-01-13,錠,300,2.5
新生,DG0000000472-Duratocin 100mcg/ml(新生/民權),H_D0006-禾馨_大昌華嘉,2022-01-12,支,225,1466.667
新生,DG0000001236-TRESIBA FlexTouch 300IU/3ML,H_D0006-禾馨_大昌華嘉,2022-01-12,支,15,484
新生,DG0000000207-ZALAIN  Vag Supp.,D0058-科懋,2022-01-12,顆,40,93
新生,DG0000001799-PCR-COVID,H_D0087-禾馨_裕利,2022-01-12,SET,80,2000
民權,DG0000000354-Fluticosone cream全佳膚乳膏,H_D0004-禾馨_十全,2022-01-12,條,500,25.85
民權,DG0000001504-[自費]DOSTINEX TAB 0.5MG,H_D0019-禾馨_文德,2022-01-12,錠,160,137.5
民權,DG0000000638-Spersin ointment 10g,H_D0055-禾馨_恆富,2022-01-12,條,264,78
民權,DG0000000341-EXELDERM CREAM 5mg (民/新/小),D0201-台田,2022-01-12,條,100,26.5
民權,DG0000001012-QV cream舒敏加護乳霜,H_D0087-禾馨_裕利,2022-01-12,盒,60,308
民權,DG0000001837-[管]FRESOFOL 1% 20ml飛可復,D0212-華德醫材,2022-01-12,支,200,67
民權,DG0000001200-Lidophrine Injection 2%,H_D0216-禾馨_祥盛行,2022-01-12,支,200,88
民權,DG0000001799-PCR-COVID,H_D0087-禾馨_裕利,2022-01-12,SET,300,2000
民權,DG0000001799-PCR-COVID,H_D0087-禾馨_裕利,2022-01-12,SET,140,2000
民權,DG0000001820-Baraclude tab 0.5mg(貝樂克),H_D0006-禾馨_大昌華嘉,2022-01-12,錠,570,111.87
民權,DG0000001186-Boostrix補施追疫苗,H_D0087-禾馨_裕利,2022-01-12,支,320,605
民權,DG0000000467-SEVOFLURANE(新生/民權),H_D0064-禾馨_美達特,2022-01-12,CC,10,4620
士林小禾馨,DG0000000322-Zinc oxide 28.4gm (兒),H_D0081-禾馨_惠祥,2022-01-12,GM,100,55
禾馨眼科,"DG0000001420-AZARGA EYE DROPS, SUSPENSION",D0087-裕利,2022-01-12,SET,20,230.4
禾馨眼科,DG0000001426-TOBRADEX OPHTHALMIC SUSPENSION,D0087-裕利,2022-01-12,SET,20,91.9
禾馨眼科,DG0000001439-TEARS NATURALE,D0163-愛爾康,2022-01-12,SET,23,40.957
禾馨眼科,DG0000001440-DURATEARS STERILE OPH OINT,D0163-愛爾康,2022-01-12,SET,24,58.333
桃園,DG0000000704-[管]FENTANYL INJ. 10ML(新/民/,D0150-食藥署,2022-01-12,支,600,90
桃園,DG0000000370-[管]FENTANYL INJ. 2ML (新/民/,D0150-食藥署,2022-01-12,支,300,38
桃園,DG0000000224-[管]MORPHINE HCL 10mg/ml(新/民,D0150-食藥署,2022-01-12,支,100,25
桃園,DG0000001837-[管]FRESOFOL 1% 20ml飛可復,D0212-華德醫材,2022-01-12,支,100,67
桃園,DG0000000638-Spersin ointment 10g,H_D0055-禾馨_恆富,2022-01-12,條,60,85.8
桃園,DG0000001799-PCR-COVID,H_D0087-禾馨_裕利,2022-01-12,SET,80,2000
內湖,DG0000001837-[管]FRESOFOL 1% 20ml飛可復,D0212-華德醫材,2022-01-12,支,300,67
民權藥局,DG0000001433-CHLORAMPHENICOL OPHTHALMIC SOL,H_D0036-禾馨_杏輝,2022-01-12,SET,200,13.2
新生,DG0000000251-PULIN INJ.(METOCLOPRAMIDE,H_D0022-禾馨_永信藥品,2022-01-11,支,700,7.426
新生,DG0000000028-ERGOMETRINE TAB 0.2MG,H_D0022-禾馨_永信藥品,2022-01-11,顆,2500,1.188
新生,DG0000000598-DOMPER TAB 10MG,H_D0022-禾馨_永信藥品,2022-01-11,顆,1000,0.901
新生,DG0000001539-Wellderm維凝膚矽膠疤痕貼片(4片,H_D0074-禾馨_唯鼎生醫,2022-01-11,盒,150,1320
新生,DG0000001539-Wellderm維凝膚矽膠疤痕貼片(4片,H_D0074-禾馨_唯鼎生醫,2022-01-11,盒,100,1320
新生,DG0000001154-Liquid Paraffin耳滴劑10mL,H_D0085-禾馨_瑞升,2022-01-11,瓶,30,30.033
民權,DG0000001766-藍【4MG】OZEMPIC INJ胰妥讚注射,H_D0006-禾馨_大昌華嘉,2022-01-11,支,20,3630
民權,DG0000000073-LIVIAL TAB 2.5MG(民/新),H_D0087-禾馨_裕利,2022-01-11,盒,5,1056
民權,DG0000001821-Vemlidy tab 25mg韋立得膜衣錠,H_D0259-禾馨_華安,2022-01-11,錠,180,143
士林小禾馨,DG0000000638-Spersin ointment 10g,H_D0055-禾馨_恆富,2022-01-11,盒,66,78
小禾馨,DG0000000308-HYDROCORTISONE 10g,H_D0036-禾馨_杏輝,2022-01-09,條,144,16.167
小禾馨,DG0000000321-MYCOMB耳滴劑(Neomycin+Nystatin,H_D0036-禾馨_杏輝,2022-01-09,瓶,36,53.889
小禾馨,DG0000000482-ELOMET 5g(MOMETASONE FUROATE),H_D0087-禾馨_裕利,2022-01-09,條,200,30.355
小禾馨,DG0000001524-AZEIC-A CREAM 5GM,H_D0036-禾馨_杏輝,2022-01-09,條,10,27.5
新生,DG0000000202-Duphaston 10mg Tab.,H_D0087-禾馨_裕利,2022-01-08,顆,1200,26.345
新生,DG0000001646-DIPHERELINE INJ 11.25MG,H_D0087-禾馨_裕利,2022-01-08,SET,4,9597.5
民權,DG0000000370-[管]FENTANYL INJ. 2ML (新/民/,D0150-食藥署,2022-01-08,支,500,38
